2458234.4453009260,14.186,14.311,13.877,14.340,14.934,10.474
2458234.4456481482,14.155,14.361,13.840,14.428,14.864,10.439
2458234.4459837959,14.152,14.286,13.865,14.414,14.955,10.442
2458234.4463310186,14.203,14.277,13.855,14.354,14.996,10.475
2458234.4466666663,14.150,14.262,13.893,14.423,14.915,10.476
2458234.4470138885,14.152,14.329,13.859,14.372,14.965,10.459
2458234.4473495367,14.187,14.262,13.859,14.427,14.924,10.453
2458234.4476851849,14.175,14.309,13.864,14.406,14.884,10.454
2458234.4480208331,14.153,14.321,13.856,14.424,14.899,10.446
2458234.4483564813,14.177,14.319,13.872,14.389,14.871,10.478
2458234.4487037035,14.174,14.264,13.880,14.425,14.895,10.473
2458234.4490393517,14.186,14.299,13.841,14.416,14.925,10.458
2458234.4493865739,14.172,14.303,13.842,14.382,14.999,10.459
2458234.4497106480,14.172,14.293,13.854,14.373,15.000,10.452
2458234.4500462962,14.171,14.268,13.885,14.366,14.977,10.469
2458234.4503819444,14.218,14.320,13.866,14.337,14.888,10.518
2458234.4507175926,14.178,14.260,13.851,14.410,14.996,10.482
2458234.4510648148,14.189,14.311,13.845,14.356,14.987,10.494
2458234.4514004630,14.199,14.280,13.824,14.448,14.929,10.514
2458234.4517361107,14.166,14.307,13.853,14.450,14.866,10.511
2458234.4520717589,14.196,14.272,13.858,14.408,14.920,10.510
2458234.4524074071,14.201,14.214,13.887,14.408,14.943,10.521
2458234.4527430553,14.123,14.260,13.883,14.404,15.036,10.494
2458234.4530787035,14.168,14.235,13.919,14.351,14.980,10.502
2458234.4534259257,14.160,14.276,13.861,14.394,15.004,10.514
2458234.4537731479,14.188,14.271,13.851,14.429,14.922,10.533
2458234.4541087961,14.233,14.282,13.893,14.373,14.804,10.540
2458234.4544560183,14.186,14.248,13.866,14.426,14.935,10.515
2458234.4547916665,14.142,14.269,13.883,14.438,14.922,10.526
2458234.4551273147,14.178,14.273,13.864,14.408,14.937,10.507
2458234.4554629629,14.158,14.274,13.877,14.390,14.972,10.527
2458234.4557986110,14.192,14.271,13.850,14.437,14.906,10.514
2458234.4561342592,14.140,14.263,13.889,14.385,15.006,10.539
2458234.4564699074,14.143,14.276,13.879,14.463,14.877,10.537
2458234.4568171296,14.185,14.248,13.865,14.482,14.855,10.523
2458234.4571643518,14.193,14.248,13.909,14.416,14.827,10.560
2458234.4575000000,14.134,14.157,13.864,14.454,15.215,10.505
2458234.4578472222,14.141,14.329,13.862,14.425,14.895,10.533
2458234.4581828704,14.213,14.183,13.890,14.434,14.932,10.542
2458234.4585185181,14.194,14.282,13.868,14.399,14.896,10.541
2458234.4588541663,14.146,14.310,13.880,14.370,14.958,10.533
2458234.4591898145,14.152,14.277,13.889,14.402,14.929,10.566
2458234.4595254627,14.140,14.242,13.854,14.484,14.980,10.559
2458234.4598611109,14.174,14.298,13.859,14.409,14.912,10.566
2458234.4602083331,14.124,14.294,13.890,14.411,14.937,10.567
2458234.4605555553,14.172,14.245,13.880,14.433,14.917,10.575
2458234.4609027775,14.163,14.263,13.850,14.409,15.027,10.551
2458234.4612384257,14.114,14.265,13.904,14.414,14.971,10.559
2458234.4615740739,14.181,14.303,13.872,14.379,14.903,10.575
2458234.4619097221,14.165,14.361,13.850,14.360,14.927,10.533
2458234.4622453703,14.130,14.267,13.893,14.408,14.971,10.518
2458234.4625810185,14.103,14.361,13.873,14.397,14.933,10.550
