 47954.4250000     44142.500     +0.0087510358
 47964.4699000     44163.500     -0.0052565815
 47964.4700000     44163.500     -0.0051565815
 47966.3857000     44167.500     -0.0054389866
 47966.3858000     44167.500     -0.0053389866
 47968.3040000     44171.500     -0.0031213923
 48011.4130000     44261.500     -0.0037256918
 48189.5960000     44632.500     -0.0070935741
 48332.3342000     44930.000     -0.0095900236
 48720.3430000     45738.500     +0.0127355575
 48753.3770000     45807.500     -0.0039653045
 48918.6235000     46152.000     -0.0109724266
 48919.5816000     46154.000     -0.0108637853
 49055.6183000     46437.500     -0.0089383967
 49403.4100000     47162.000     +0.0318797214
 49403.4270000     47162.000     +0.0488797214
 49433.5427000     47225.000     -0.0121506789
 49433.5436000     47225.000     -0.0112506789
 49436.4161000     47231.000     -0.0127250102
 49436.4175000     47231.000     -0.0113250102
 49443.3930000     47245.500     +0.0187370145
 49443.3950000     47245.500     +0.0207370145
 49775.5469000     47937.500     -0.0109060416
 49801.4180000     47991.500     -0.0055765965
 49813.3820000     48016.500     -0.0164704109
 49836.3790000     48064.000     -0.0112665662
 50157.3100000     48733.000     -0.0074311220
 50188.4360000     48798.000     -0.0161569898
 50190.3660000     48802.000     -0.0021401254
 50234.4280000     48893.500     -0.0077523693
 50422.6750000     49286.000     -0.0060998904
 50448.5404000     49340.000     -0.0064733149
 50519.4340000     49487.500     -0.0042528552
 50520.3900000     49489.500     -0.0062444768
 50555.3500000     49562.500     -0.0129387938
 50577.3790000     49608.500     -0.0177462792
 50582.6550000     49619.500     -0.0107002553
 50582.6550000     49619.500     -0.0107002553
 50598.4560000     49652.000     -0.0165621443
 50862.3970000     50202.000     -0.0022634219
 50875.3280000     50229.000     -0.0041510949
 50891.1290000     50262.000     -0.0100138446
 51130.6356000     50761.000     -0.0013393703
 51130.6356900     50761.000     -0.0012493703
 51130.6358800     50761.000     -0.0010593703
 51141.6511400     50784.000     -0.0027041884
 51141.6514100     50784.000     -0.0024341884
 51141.6515100     50784.000     -0.0023341884
 51150.5072000     50802.500     -0.0080676448
 51150.5089000     50802.500     -0.0063676448
 51150.5100000     50802.500     -0.0052676448
 51158.4162000     50819.000     -0.0024993872
